plan_code,title,file,ext,size,source_url,post_title
EP-141,제4차 잔류성오염물질 관리 기본계획(26_30)_최종.pdf,me323616_1.pdf,pdf,6300306,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=323616&fileSeq=1,제4차 잔류성오염물질 관리 기본계획(2026~2030)
EP-151,제5차 국가생물다양성전략(2024~2028).pdf,me311764_1.pdf,pdf,4598092,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=311764&fileSeq=1,제5차 국가생물다양성전략(2024~2028)
EP-152,제3차 빛공해 방지 종합계획(2024~2028).pdf,me270740_1.pdf,pdf,37893365,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=270740&fileSeq=1,제3차 빛공해 방지 종합계획(2024~20228)
EP-153,제2차 악취방지종합시책(2019~2028).hwp,me166946_1.hwp,hwp,13679616,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=166946&fileSeq=1,제2차 악취방지종합시책(2019~2028)
EP-155,제2차 생물자원관 기본계획('26-'30)(알림).pdf,me314408_1.pdf,pdf,9167365,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=314408&fileSeq=1,제2차 생물자원관 기본계획 수립('26-'30)
EP-156,제2차 국가폐기물관리 종합계획 수정계획.hwp,me5264_1.hwp,hwp,5938176,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=5264&fileSeq=1,제2차 국가폐기물관리 종합계획 수정계획
EP-157,120112-제2차건설폐기물재활용기본계획(인쇄본).pdf,me6594_1.pdf,pdf,12239706,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=6594&fileSeq=1,제2차 건설폐기물재활용기본계획(2012-2016)
EP-123,"환경부 훈령제923호(오염총량관리기본방침, 10.10.29).hwp",me6460_1.hwp,hwp,137728,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=6460&fileSeq=1,수질오염총량관리기본방침 제정
EP-034,제1차 녹색융합클러스터 기본계획(2023~2027).pdf,me260208_1.pdf,pdf,1157971,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=260208&fileSeq=1,제1차 녹색융합클러스터 기본계획(2023~2027)
EP-034,제1차 녹색융합클러스터 기본계획(2023~2027).hwpx,me260208_2.hwpx,hwpx,5714365,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=260208&fileSeq=2,제1차 녹색융합클러스터 기본계획(2023~2027)
EP-159,제4차_해양환경종합계획.pdf,mof36312_1.pdf,pdf,5458335,https://www.mof.go.kr/jfile/readDownloadFile.do?fileType=MOF_ARTICLE&fileTypeSeq=36312&fileNum=1,전체 해양환경종합계획 해양수산부
EP-160,제1차_해양생태계보전관리기본계획.pdf,mof36321_1.pdf,pdf,2366043,https://www.mof.go.kr/jfile/readDownloadFile.do?fileType=MOF_ARTICLE&fileTypeSeq=36321&fileNum=1,전체 해양생태계보전ㆍ관리 기본계획 해양수산부
EP-160,제2차_해양생태계보전관리기본계획.pdf,mof36321_2.pdf,pdf,1599195,https://www.mof.go.kr/jfile/readDownloadFile.do?fileType=MOF_ARTICLE&fileTypeSeq=36321&fileNum=2,전체 해양생태계보전ㆍ관리 기본계획 해양수산부
EP-161,제1차 해양폐기물 및 해양오염퇴적물 관리 기본계획 (2021-2030)_최종인쇄본.pdf,mof36318_1.pdf,pdf,11665335,https://www.mof.go.kr/jfile/readDownloadFile.do?fileType=MOF_ARTICLE&fileTypeSeq=36318&fileNum=1,전체 해양폐기물 및 해양오염퇴적물 관리 기본계획 해양수산부
EP-163,2021년 제1차 갯벌 등의 관리 및 복원 기본계획(2021_2025).pdf,mof36323_1.pdf,pdf,5291497,https://www.mof.go.kr/jfile/readDownloadFile.do?fileType=MOF_ARTICLE&fileTypeSeq=36323&fileNum=1,전체 갯벌등의 관리 및 복원에 관한 기본계획 해양수산부
EP-013,(붙임1)(전체본)국가 기후위기 적극 대응대책(제4차 국가 기후위기 적응대책).pdf,me315146_1.pdf,pdf,35164926,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=315146&fileSeq=1,국가 기후위기 적극 대응 대책(제4차 국가 기후위기 적응대책)
EP-013,(붙임2)(요약본)국가 기후위기 적극 대응대책(제4차 국가 기후위기 적응대책).pdf,me315146_2.pdf,pdf,8256066,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=315146&fileSeq=2,국가 기후위기 적극 대응 대책(제4차 국가 기후위기 적응대책)
EP-014,제3차 국가 기후위기 적응 강화대책(2023-2025) 세부시행계획('23.9).pdf,me266378_1.pdf,pdf,11178554,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=266378&fileSeq=1,제3차 국가 기후위기 적응 강화대책('23~'25) 세부시행계획
EP-013,제3차 국가 기후위기 적응 강화대책.pdf,me260262_1.pdf,pdf,104943445,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=260262&fileSeq=1,제3차 국가 기후위기 적응 강화대책
EP-013,(요약본) The Enhanced 3rd National Climate Crisis Adaptation Plan(영문).pdf,me260262_2.pdf,pdf,2542717,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=260262&fileSeq=2,제3차 국가 기후위기 적응 강화대책
EP-014,제3차 국가 기후변화 적응대책 세부시행계획(210330).pdf,me214374_1.pdf,pdf,15537420,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=214374&fileSeq=1,제3차 국가 기후변화 적응대책('21~'25) 세부시행계획
EP-013,제3차_국가_기후변화_적응대책.pdf,me208334_1.pdf,pdf,10289877,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=208334&fileSeq=1,제3차 국가 기후변화 적응대책('21~'25)
EP-014,13~15년_국가적응대책_세부시행계획(인쇄본).pdf,me124946_1.pdf,pdf,21929836,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=124946&fileSeq=1,국가기후변화적응대책 13~15년 세부시행계획(인쇄본)
EP-013,제2차 국가기후변화적응대책(종합본&요약본).zip,me124951_1.zip,zip,7914905,https://www.mcee.go.kr/home/file/readDownloadFile.do?fileId=124951&fileSeq=1,제2차 국가기후변화적응대책(2016~2020)
EP-013,제1차 국가 기후변화 적응대책(2011~2015).hwp,korea201773.hwp,hwp,20661248,https://www.korea.kr/common/download.do?tblKey=EDN&fileId=201773,국가 기후변화 적응대책(2011~2015) — 대한민국 정책브리핑 정책DB
