code,plan_code,seq,label,period,year_from,year_to,confidence,is_current,doc_file,doc_size,source_url,note
EP-001-1,EP-001,1,제1차,1987~2001,1987,2001,참고,,,,,
EP-001-2,EP-001,2,제2차,1996~2005,1996,2005,참고,,,,,
EP-001-3,EP-001,3,제3차,2006~2015,2006,2015,확인,,,,,
EP-001-4,EP-001,4,제4차,2016~2035,2016,2035,확인,,,,,
EP-001-5,EP-001,5,제5차,2020~2040,2020,2040,확인,1,,,,
EP-002-1,EP-002,1,,,,,미확인,1,,,,
EP-003-1,EP-003,1,,,,,미확인,1,,,,
EP-004-1,EP-004,1,,,,,해당없음,1,,,,
EP-005-1,EP-005,1,,,,,미확인,1,,,,
EP-006-1,EP-006,1,제1차,,,,미확인,1,,,,
EP-007-1,EP-007,1,,,,,미확인,1,,,,
EP-008-1,EP-008,1,,,,,미확인,1,,,,
EP-009-1,EP-009,1,제1차,2023~2042,2023,2042,확인,1,,,,
EP-010-1,EP-010,1,,,,,해당없음,1,,,,
EP-011-1,EP-011,1,,,,,해당없음,1,,,,
EP-012-1,EP-012,1,제3차,,,,미확인,1,,,,
EP-013-1,EP-013,1,제3차,,,,미확인,1,,,,
EP-014-1,EP-014,1,제3차,,,,미확인,1,,,,
EP-015-1,EP-015,1,,,,,미확인,1,,,,
EP-016-1,EP-016,1,,,,,해당없음,1,,,,
EP-017-1,EP-017,1,,,,,미확인,1,,,,
EP-018-1,EP-018,1,제1차,,,,미확인,,,,,
EP-018-2,EP-018,2,제2차,,,,미확인,,,,,
EP-018-3,EP-018,3,제3차,,,,미확인,,,,,
EP-018-4,EP-018,4,제4차,2024~2028,2024,2028,참고,1,,,,
EP-019-1,EP-019,1,,,,,미확인,1,,,,
EP-020-1,EP-020,1,제1차,,,,미확인,,,,,
EP-020-2,EP-020,2,제2차,,,,미확인,,,,,
EP-020-3,EP-020,3,제3차,,,,미확인,,,,,
EP-020-4,EP-020,4,제4차,2024~2028,2024,2028,확인,1,,,,
EP-021-1,EP-021,1,,,,,미확인,1,,,,
EP-022-1,EP-022,1,제1차,,,,미확인,,,,,
EP-022-2,EP-022,2,제2차,,,,미확인,,,,,
EP-022-3,EP-022,3,제3차,,,,미확인,,,,,
EP-022-4,EP-022,4,제4차,2024~2028,2024,2028,참고,1,,,,
EP-023-1,EP-023,1,,,,,미확인,1,,,,
EP-024-1,EP-024,1,제1차,,,,미확인,,,,,
EP-024-2,EP-024,2,제2차,,,,미확인,,,,,
EP-024-3,EP-024,3,제3차,,,,미확인,,,,,
EP-024-4,EP-024,4,제4차,2024~2028,2024,2028,확인,1,,,,
EP-025-1,EP-025,1,,,,,미확인,1,,,,
EP-026-1,EP-026,1,제1차,,,,미확인,,,,,
EP-026-2,EP-026,2,제2차,,,,미확인,,,,,
EP-026-3,EP-026,3,제3차,2017~2021,2017,2021,확인,,,,,
EP-026-4,EP-026,4,제4차,2022~2026,2022,2026,참고,1,,,,
EP-027-1,EP-027,1,제1차,2023~2027,2023,2027,확인,1,,,,
EP-028-1,EP-028,1,제1차,,,,미확인,,,,,
EP-028-2,EP-028,2,제2차,,,,미확인,,,,,
EP-028-3,EP-028,3,제3차,,,,참고,,,,,
EP-028-4,EP-028,4,제4차,2021~2025,2021,2025,확인,1,,,,
EP-029-1,EP-029,1,제1차,2005~2014,2005,2014,참고,,,,,
EP-029-2,EP-029,2,제2차,2015~2024,2015,2024,확인,1,,,,
EP-030-1,EP-030,1,제1차,2021~2025,2021,2025,확인,,,,,
EP-030-2,EP-030,2,제2차,2026~2030,2026,2030,확인,1,,,,
EP-031-1,EP-031,1,제1차,2006~2015,2006,2015,참고,,,,,
EP-031-2,EP-031,2,제2차,2016~2025,2016,2025,확인,,,,,
EP-031-3,EP-031,3,제3차,2023~2032,2023,2032,확인,1,,,,
EP-032-1,EP-032,1,제1차,2020~2024,2020,2024,참고,,,,,
EP-032-2,EP-032,2,제2차,2025~2029,2025,2029,확인,1,,,,
EP-033-1,EP-033,1,,,,,미확인,1,,,,
EP-034-1,EP-034,1,제1차,2024~2033,2024,2033,확인,1,,,,
EP-035-1,EP-035,1,,,,,미확인,1,,,,
EP-036-1,EP-036,1,,,,,미확인,1,,,,
EP-037-1,EP-037,1,,,,,미확인,1,,,,
EP-038-1,EP-038,1,제1차,2021~2030,2021,2030,확인,1,,,,
EP-039-1,EP-039,1,제1차,2021~2030,2021,2030,확인,1,,,,
EP-040-1,EP-040,1,제1차,2019~2023,2019,2023,참고,,,,,
EP-040-2,EP-040,2,제2차,2024~2028,2024,2028,확인,1,,,,
EP-041-1,EP-041,1,제1차,2011~2020,2011,2020,참고,,,,,
EP-041-2,EP-041,2,제2차,2021~2030,2021,2030,확인,1,,,,
EP-042-1,EP-042,1,,,,,미확인,1,,,,
EP-043-1,EP-043,1,,,,,해당없음,1,,,,
EP-044-1,EP-044,1,제2차,,,,미확인,1,,,,
EP-045-1,EP-045,1,제1차,2006~2015,2006,2015,확인,,,,,
EP-045-2,EP-045,2,제2차,2016~2025,2016,2025,확인,1,,,,
EP-046-1,EP-046,1,,,,,미확인,1,,,,
EP-047-1,EP-047,1,,,,,미확인,1,,,,
EP-048-1,EP-048,1,,,,,미확인,1,,,,
EP-049-1,EP-049,1,,,,,해당없음,1,,,,
EP-050-1,EP-050,1,제1차,,,,미확인,,,,,
EP-050-2,EP-050,2,제2차,2012~2020,2012,2020,참고,,,,,
EP-050-3,EP-050,3,제3차,2021~2025,2021,2025,확인,1,,,,
EP-051-1,EP-051,1,제1차,2020~2024,2020,2024,확인,,,,,
EP-051-2,EP-051,2,제2차,2025~2029,2025,2029,확인,1,,,,
EP-052-1,EP-052,1,제6차,,,,미확인,1,,,,
EP-053-1,EP-053,1,제1차,2006~2015,2006,2015,확인,,,,,
EP-053-2,EP-053,2,제2차,2016~2025,2016,2025,확인,,,,,
EP-053-3,EP-053,3,제3차,2026~2035,2026,2035,확인,1,,,,
EP-054-1,EP-054,1,,,,,미확인,1,,,,
EP-055-1,EP-055,1,제5차,,,,미확인,1,,,,
EP-056-1,EP-056,1,,,,,미확인,1,,,,
EP-057-1,EP-057,1,제1차,2021~2025,2021,2025,확인,,,,,
EP-057-2,EP-057,2,제2차,2026~2030,2026,2030,확인,1,,,,
EP-058-1,EP-058,1,제1차,2013~2017,2013,2017,확인,,,,,
EP-058-2,EP-058,2,제2차,2018~2022,2018,2022,확인,,,,,
EP-058-3,EP-058,3,제3차,2023~2027,2023,2027,확인,1,,,,
EP-059-1,EP-059,1,제1차,2006~2010,2006,2010,참고,,,,,
EP-059-2,EP-059,2,제2차,2011~2015,2011,2015,참고,,,,,
EP-059-3,EP-059,3,제3차,2016~2020,2016,2020,확인,,,,,
EP-059-4,EP-059,4,제4차,2021~2025,2021,2025,확인,,,,,
EP-059-5,EP-059,5,제5차,2026~2030,2026,2030,확인,1,,,,
EP-060-1,EP-060,1,차수없음,2022~2031,2022,2031,확인,1,,,,
EP-061-1,EP-061,1,,,,,미확인,1,,,,
EP-062-1,EP-062,1,제1차,,,,미확인,,,,,
EP-062-2,EP-062,2,제2차,,,,미확인,,,,,
EP-062-3,EP-062,3,제3차,2001~2020,2001,2020,참고,,,,,
EP-062-4,EP-062,4,제4차,2001~2020,2001,2020,참고,1,,,,
EP-063-1,EP-063,1,제1차,2007~2011,2007,2011,참고,,,,,
EP-063-2,EP-063,2,제2차,2013~2017,2013,2017,확인,,,,,
EP-063-3,EP-063,3,제3차,2018~2022,2018,2022,확인,,,,,
EP-063-4,EP-063,4,제4차,2023~2027,2023,2027,확인,1,,,,
EP-064-1,EP-064,1,,,,,미확인,1,,,,
EP-065-1,EP-065,1,제1차,2004~2008,2004,2008,참고,,,,,
EP-065-2,EP-065,2,제2차,2009~2013,2009,2013,참고,,,,,
EP-065-3,EP-065,3,제3차,2015~2019,2015,2019,참고,,,,,
EP-065-4,EP-065,4,제4차,2020~2024,2020,2024,확인,,,,,
EP-065-5,EP-065,5,제5차,2025~2029,2025,2029,확인,1,,,,
EP-066-1,EP-066,1,제2차,,,,미확인,1,,,,
EP-067-1,EP-067,1,제1차,2006~2010,2006,2010,확인,,,,,
EP-067-2,EP-067,2,제2차,2011~2015,2011,2015,참고,,,,,
EP-067-3,EP-067,3,제3차,2016~2020,2016,2020,확인,,,,,
EP-067-4,EP-067,4,제4차,2021~2025,2021,2025,확인,,,,,
EP-067-5,EP-067,5,제5차,2026~2030,2026,2030,확인,1,,,,
EP-068-1,EP-068,1,,,,,미확인,1,,,,
EP-069-1,EP-069,1,제1차,2016~2020,2016,2020,참고,,,,,
EP-069-2,EP-069,2,제2차,2021~2025,2021,2025,확인,1,,,,
EP-070-1,EP-070,1,제1차,2015~2017,2015,2017,확인,,,,,
EP-070-2,EP-070,2,제2차,2018~2020,2018,2020,확인,,,,,
EP-070-3,EP-070,3,제3차,2021~2030,2021,2030,확인,,,,,
EP-070-4,EP-070,4,제4차,2026~2035,2026,2035,확인,1,,,,
EP-071-1,EP-071,1,제3차,,,,미확인,1,,,,
