code,seq,name,category,law,law_url,article,article_url,cycle,ministry,planner,scope,level,verified,source,note,order
EP-001,1,국가환경종합계획,종합계획,환경정책기본법,https://www.law.go.kr/법령/환경정책기본법,제14조,"https://www.law.go.kr/법령/환경정책기본법/(20260102,21065,20251001)/제14조",20년,기후에너지환경부,기후에너지환경부장관,전국,국가,1,neins,제1·2차는 「환경보전장기종합계획」 명칭 — 제3차부터 「국가환경종합계획」,1
EP-002,2,시‧도 환경계획,기타,환경정책기본법,https://www.law.go.kr/법령/환경정책기본법,제18조,"https://www.law.go.kr/법령/환경정책기본법/(20260102,21065,20251001)/제18조",미규정,지방자치단체,시ㆍ도지사,시도,광역(시·도),,neins,,7002
EP-003,3,시‧군‧구 환경계획,기타,환경정책기본법,https://www.law.go.kr/법령/환경정책기본법,제19조,"https://www.law.go.kr/법령/환경정책기본법/(20260102,21065,20251001)/제19조",미규정,지방자치단체,시장ㆍ군수ㆍ구청장,시군구,기초(시·군·구),,neins,,7003
EP-004,4,특별종합대책,종합계획,환경정책기본법,https://www.law.go.kr/법령/환경정책기본법,제38조,"https://www.law.go.kr/법령/환경정책기본법/(20260102,21065,20251001)/제38조",미규정,기후에너지환경부,기후에너지환경부장관,시군구,국가,1,neins,대책지역별 개별 수립,4
EP-005,5,영향권별 환경관리,관리계획,환경정책기본법,https://www.law.go.kr/법령/환경정책기본법,제39조,"https://www.law.go.kr/법령/환경정책기본법/(20260102,21065,20251001)/제39조",미규정,기후에너지환경부,기후에너지환경부장관,시군구,국가,,neins,,2005
EP-006,6,국가비전 및 국가전략,기타,기후위기 대응을 위한 탄소중립·녹색성장 기본법,https://www.law.go.kr/법령/기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,제7조,"https://www.law.go.kr/법령/기후위기대응을위한탄소중립ㆍ녹색성장기본법/(20260602,21738,20260602)/제7조",5년,정부(관계부처 합동),정부,전국,국가,,neins,,7006
EP-007,7,국가탄소중립녹색성장전략,기타,기후위기 대응을 위한 탄소중립·녹색성장 기본법,https://www.law.go.kr/법령/기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,제7조,"https://www.law.go.kr/법령/기후위기대응을위한탄소중립ㆍ녹색성장기본법/(20260602,21738,20260602)/제7조",미규정,미지정,,,국가,,neins,,7007
EP-008,8,중장기 국가 온실가스 감축 목표,기타,기후위기 대응을 위한 탄소중립·녹색성장 기본법,https://www.law.go.kr/법령/기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,제8조,"https://www.law.go.kr/법령/기후위기대응을위한탄소중립ㆍ녹색성장기본법/(20260602,21738,20260602)/제8조",5년,정부(관계부처 합동),정부,,국가,,neins,,7008
EP-009,9,국가 탄소중립 녹색성장 기본계획,기본계획,기후위기 대응을 위한 탄소중립·녹색성장 기본법,https://www.law.go.kr/법령/기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,제10조,"https://www.law.go.kr/법령/기후위기대응을위한탄소중립ㆍ녹색성장기본법/(20260602,21738,20260602)/제10조",5년,2050탄소중립녹색성장위원회·기후에너지환경부,정부,전국,국가,1,neins,2023년 최초 수립 — 20년 계획을 5년마다 갱신,1009
EP-010,10,시‧도 탄소중립 녹색성장 기본계획,기본계획,기후위기 대응을 위한 탄소중립·녹색성장 기본법,https://www.law.go.kr/법령/기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,제11조,"https://www.law.go.kr/법령/기후위기대응을위한탄소중립ㆍ녹색성장기본법/(20260602,21738,20260602)/제11조",5년,17개 시·도,특별시장ㆍ광역시장ㆍ특별자치시장ㆍ도지사ㆍ특별자치도지사,시도,광역(시·도),1,neins,지자체별 개별 수립,1010
